Topic,Label
Topic 1,Famous Investors
Topic 2,Bull Run
Topic 3,Bitcoin as a Commodity
Topic 4,Education
Topic 5,Global Adoption
Topic 6,Crypto Founders
Topic 7,Price Analysis
Topic 8,Bitcoin as a Currency
Topic 9,Security
Topic 10,Blockchain Innovation
Topic 11,Government Regulation
Topic 12,Crime
Topic 13,Peer-to-Peer
Topic 14,Institutitonal Investing
Topic 15,Price Movement
Topic 16,Mining
Topic 17,Privacy
Topic 18,Bitcoin ETF
Topic 19,Bitcoin Improvement Proposals (BIP)
Topic 20,Transaction Fees
Topic 21,Pay with Bitcoin
Topic 22,Bitcoin Cash (BCH)
Topic 23,Lawsuits
Topic 24,Hacks
Topic 25,"Community (Games, Charity)"
